Elefantari	/places/471916/elefantaria
Pag Arusnati	/places/383730/pagus-arusnatium
Thosb	/places/741635/thosbis
Tifern	/places/438852/tifernum	/places/433154/tifernus
Civit Turonor	/places/138255/civitas-turonorum
Qṭispōn	/places/893976/qtispon-1
Cent Pute	/places/674229/centum-putea	/places/207024/centum-putea
Irie	/places/543736/irieus
Phalassi Pr.	/places/541035/Phalassia-Pr
Irin	/places/446252/irini
Oten	/places/863848/otene	/places/884899/otene
Satarch	/places/825372/satarchae	/places/857729/satarche	/places/229587/satarche
Tingenter	/places/256235/tingentera
Pianos	/places/403255/pianosa
Antaly	/places/638778/antalya
Caecin	/places/403191/caecina
Hercul Curin	/places/413165/hercules-curinus
Kolob M., Pr.	/places/40180/Kolobon-M-Pr
Selgi	/places/876698/selgia
Messan	/places/462538/messana
Selge	/places/639100/selgeis
ʿAfak	/places/300354629/2bfafak
Hebdom	/places/521026/hebdomon
Messap	/places/589929/messapos
Tieiobeuden	/places/614858/tieiobeudene
Eshrub	/places/737045/eshruba
ha-Ṣidd	/places/211425277/ha-siddim
Ly	/places/167717/lyon
Akana	/places/40030/akanai
Barg	/places/221999/bargus
Samsun	/places/857024/samsun-3	/places/857024/samsun-1
Esk Samsat	/places/658587/eski-samsat
Bari	/places/265820/baria	/places/442500/barium
Puységur	/places/249953/puysegur
Kissio	/places/857190/kissioi
Scamander	/places/550871/scamander
Gemell	/places/471934/gemellae	/places/324711/gemellae	/places/260556/gemella	/places/334553/gemellae
Molp	/places/452382/molpa
Foss Papirian	/places/403208/fossae-papirianae
Kauko	/places/20508/kaukoi
Castr Explorator	/places/89142/castra-exploratorum
Mole	/places/456098/molee
Basiboun	/places/222000/basibounon
Philyr	/places/860850/philyres
Iovi	/places/197326/iovia	/places/197327/iovia	/places/197191/iovia	/places/642530/iovia
Dascus	/places/628963/dascusa
Lan-shih	/places/961886/lan-shih
Zakynth	/places/456135/zakynthos
Acerr	/places/432621/acerrae	/places/383542/acerrae
Gabath	/places/678139/gabatha
Aiginet	/places/844853/aiginetes	/places/844854/aiginetes
Mampsaro	/places/324775/mampsaroi
Iuliobon	/places/109069/iuliobona
Acerd	/places/491507/acerdos
Tegul	/places/472029/tegula	/places/109370/tegula
Obulcul	/places/256332/obulcula
Sauarabat	/places/60040/sauarabatis
Urvin Mataurens	/places/413366/urvinum-mataurense
Melan Pr.	/places/511314/Melanos-Pr
Paternian	/places/270361/paterniana
Agisymb	/places/355608/agisymba
Maritim	/places/148125/maritima	/places/462243/maritima
Baskat	/places/60455/baskatis
Conobari	/places/256124/conobaria
